,date,close,diff,open,high,low,volume
0,2022-02-17,640000,13000,650000,654000,635000,294125
1,2022-02-16,653000,31000,650000,657000,636000,380506
2,2022-02-15,622000,3000,630000,654000,622000,277189
3,2022-02-14,619000,14000,632000,640000,618000,219372
4,2022-02-11,633000,28000,645000,658000,633000,310519
5,2022-02-10,661000,51000,613000,666000,613000,694375
6,2022-02-09,610000,7000,624000,627000,610000,389461
7,2022-02-08,617000,22000,630000,655000,617000,691459
8,2022-02-07,639000,39000,676000,677000,638000,317108
9,2022-02-04,678000,1000,680000,687000,668000,217715
10,2022-02-03,677000,38000,677000,691000,661000,356414
11,2022-01-28,639000,29000,628000,643000,622000,528869
12,2022-01-27,610000,54000,644000,669000,605000,882032
13,2022-01-26,664000,21000,643000,675000,643000,374033
14,2022-01-25,643000,28000,654000,668000,630000,349700
15,2022-01-24,671000,23000,693000,694000,663000,246196
16,2022-01-21,694000,2000,697000,710000,679000,324652
17,2022-01-20,696000,43000,640000,697000,633000,450658
18,2022-01-19,653000,41000,690000,693000,643000,440752
19,2022-01-18,694000,13000,713000,720000,691000,245949
20,2022-01-17,707000,9000,713000,732000,698000,281141
21,2022-01-14,716000,39000,746000,752000,712000,319701
22,2022-01-13,755000,18000,766000,767000,742000,545491
23,2022-01-12,773000,39000,750000,774000,747000,646296
24,2022-01-11,734000,24000,708000,735000,707000,462973
25,2022-01-10,710000,9000,732000,732000,695000,549323
26,2022-01-07,719000,29000,720000,722000,691000,836306
27,2022-01-06,690000,26000,670000,691000,662000,692603
28,2022-01-05,664000,20000,652000,666000,635000,523345
29,2022-01-04,644000,26000,626000,645000,620000,406952
30,2022-01-03,618000,3000,622000,627000,616000,192335
31,2021-12-30,615000,13000,630000,630000,611000,243420
32,2021-12-29,628000,4000,629000,632000,624000,161669
33,2021-12-28,632000,5000,630000,633000,624000,181706
34,2021-12-27,627000,6000,620000,632000,616000,147200
35,2021-12-24,621000,13000,638000,640000,620000,292150
36,2021-12-23,634000,9000,627000,635000,625000,273757
37,2021-12-22,625000,17000,640000,645000,622000,522225
38,2021-12-21,642000,14000,656000,658000,636000,503987
39,2021-12-20,656000,41000,701000,702000,648000,556191
40,2021-12-17,697000,8000,698000,703000,695000,231327
41,2021-12-16,705000,9000,706000,714000,699000,226179
42,2021-12-15,696000,5000,697000,703000,695000,228912
43,2021-12-14,701000,37000,724000,729000,699000,436465
44,2021-12-13,738000,2000,740000,745000,731000,217195
45,2021-12-10,740000,7000,737000,746000,729000,267924
46,2021-12-09,747000,4000,759000,764000,745000,371186
47,2021-12-08,751000,40000,719000,754000,718000,463760
48,2021-12-07,711000,6000,720000,726000,708000,173785
49,2021-12-06,717000,0,722000,722000,706000,140266
50,2021-12-03,717000,10000,727000,727000,711000,229502
51,2021-12-02,727000,9000,734000,734000,711000,268812
52,2021-12-01,718000,24000,702000,722000,696000,251126
53,2021-11-30,694000,18000,709000,716000,694000,395074
54,2021-11-29,712000,9000,715000,723000,710000,171460
55,2021-11-26,721000,18000,734000,740000,720000,201250
56,2021-11-25,739000,8000,741000,748000,737000,112764
57,2021-11-24,747000,7000,747000,757000,740000,206853
58,2021-11-23,740000,25000,765000,768000,739000,222133
59,2021-11-22,765000,7000,758000,765000,751000,200500
60,2021-11-19,758000,18000,770000,779000,755000,232115
61,2021-11-18,776000,7000,773000,780000,760000,148071
62,2021-11-17,769000,8000,785000,787000,765000,131941
63,2021-11-16,777000,12000,773000,785000,765000,188716
64,2021-11-15,765000,9000,773000,780000,751000,167747
65,2021-11-12,774000,17000,767000,774000,757000,195369
66,2021-11-11,757000,18000,746000,769000,742000,279482
67,2021-11-10,739000,30000,758000,758000,733000,258543
68,2021-11-09,769000,2000,771000,778000,759000,214251
69,2021-11-08,771000,15000,792000,792000,766000,171469
70,2021-11-05,786000,4000,800000,800000,779000,173098
71,2021-11-04,790000,6000,796000,802000,785000,287067
72,2021-11-03,784000,47000,818000,819000,780000,380709
73,2021-11-02,831000,1000,840000,856000,827000,143263
74,2021-11-01,832000,4000,849000,849000,825000,219710
75,2021-10-29,836000,14000,850000,860000,836000,316682
76,2021-10-28,850000,25000,831000,864000,828000,416963
77,2021-10-27,825000,5000,827000,832000,811000,153039
78,2021-10-26,830000,9000,840000,844000,826000,175513
79,2021-10-25,821000,3000,813000,829000,800000,170671
80,2021-10-22,818000,12000,807000,828000,807000,160106
81,2021-10-21,806000,34000,823000,833000,802000,262926
82,2021-10-20,840000,9000,847000,863000,840000,273548
83,2021-10-19,831000,4000,837000,841000,827000,130673
84,2021-10-18,827000,9000,827000,849000,825000,185465
85,2021-10-15,836000,12000,835000,848000,831000,206286
86,2021-10-14,848000,40000,831000,848000,825000,472154
87,2021-10-13,808000,12000,797000,813000,782000,341155
88,2021-10-12,796000,32000,779000,797000,770000,504233
89,2021-10-08,764000,27000,749000,768000,742000,306286
90,2021-10-07,737000,6000,743000,750000,722000,255037
91,2021-10-06,743000,4000,750000,770000,743000,274023
92,2021-10-05,747000,23000,767000,769000,737000,289280
93,2021-10-01,770000,6000,778000,781000,764000,231735
94,2021-09-30,776000,9000,754000,780000,748000,365073
95,2021-09-29,767000,9000,762000,769000,749000,346422
96,2021-09-28,776000,6000,777000,783000,765000,293276
97,2021-09-27,770000,9000,763000,770000,757000,234240
98,2021-09-24,761000,1000,770000,770000,746000,399539
99,2021-09-23,760000,59000,712000,760000,701000,762911
100,2021-09-17,701000,15000,712000,713000,701000,337421
101,2021-09-16,716000,2000,716000,723000,713000,251126
102,2021-09-15,718000,16000,723000,725000,706000,457453
103,2021-09-14,734000,13000,744000,748000,729000,243009
104,2021-09-13,747000,7000,734000,747000,727000,312766
105,2021-09-10,740000,8000,748000,753000,740000,267584
106,2021-09-09,748000,8000,748000,752000,739000,313846
107,2021-09-08,756000,2000,758000,760000,749000,301550
108,2021-09-07,758000,8000,757000,761000,747000,411836
109,2021-09-06,750000,25000,720000,754000,717000,545952
110,2021-09-03,725000,14000,703000,726000,696000,718380
111,2021-09-02,711000,10000,715000,721000,705000,781458
112,2021-09-01,721000,37000,763000,766000,721000,906907
113,2021-08-31,758000,12000,770000,777000,752000,577128
114,2021-08-30,770000,13000,787000,789000,767000,252845
115,2021-08-27,783000,5000,782000,788000,757000,353049
116,2021-08-26,788000,11000,798000,802000,785000,240562
117,2021-08-25,799000,12000,791000,805000,790000,459360
118,2021-08-24,787000,11000,775000,810000,772000,895863
119,2021-08-23,798000,100000,865000,869000,789000,944586
120,2021-08-20,898000,4000,903000,910000,892000,220082
121,2021-08-19,894000,2000,892000,900000,887000,250867
122,2021-08-18,896000,3000,907000,908000,885000,166366
123,2021-08-17,893000,3000,900000,903000,885000,286560
124,2021-08-13,896000,18000,882000,899000,878000,398111
125,2021-08-12,878000,27000,861000,879000,856000,448345
126,2021-08-11,851000,1000,855000,863000,842000,232194
127,2021-08-10,852000,6000,852000,855000,840000,200490
128,2021-08-09,846000,4000,843000,847000,835000,162031
129,2021-08-06,842000,15000,859000,860000,841000,181169
130,2021-08-05,857000,1000,849000,862000,845000,228011
131,2021-08-04,856000,3000,846000,862000,832000,227941
132,2021-08-03,853000,11000,872000,872000,850000,224682
133,2021-08-02,864000,22000,848000,865000,830000,314349
134,2021-07-30,842000,7000,845000,857000,836000,318555
135,2021-07-29,835000,0,843000,843000,831000,142235
136,2021-07-28,835000,0,831000,836000,827000,252183
137,2021-07-27,835000,18000,827000,837000,823000,326286
138,2021-07-26,817000,11000,827000,827000,815000,182829
139,2021-07-23,828000,2000,835000,835000,820000,149803
140,2021-07-22,826000,16000,820000,826000,815000,232708
141,2021-07-21,810000,5000,823000,823000,810000,146224
142,2021-07-20,815000,5000,810000,818000,809000,104113
143,2021-07-19,820000,8000,827000,828000,820000,126570
144,2021-07-16,828000,10000,820000,828000,818000,215692
145,2021-07-15,818000,26000,844000,846000,817000,371147
146,2021-07-14,844000,4000,846000,858000,837000,235349
147,2021-07-13,840000,9000,860000,860000,840000,160012
148,2021-07-12,849000,16000,842000,849000,833000,151667
149,2021-07-09,833000,26000,859000,865000,830000,277158
150,2021-07-08,859000,13000,873000,873000,854000,220628
151,2021-07-07,872000,1000,880000,880000,866000,139395
152,2021-07-06,873000,3000,874000,874000,863000,156056
153,2021-07-05,870000,21000,856000,875000,851000,221078
154,2021-07-02,849000,4000,850000,856000,845000,132383
155,2021-07-01,845000,5000,851000,870000,843000,327945
156,2021-06-30,850000,11000,848000,863000,841000,309353
157,2021-06-29,839000,9000,840000,840000,830000,196036
158,2021-06-28,830000,8000,838000,839000,830000,89725
159,2021-06-25,838000,7000,841000,849000,835000,199611
160,2021-06-24,831000,4000,837000,839000,827000,188866
161,2021-06-23,835000,7000,846000,846000,825000,220075
162,2021-06-22,842000,20000,825000,844000,824000,243411
163,2021-06-21,822000,0,812000,826000,807000,144762
164,2021-06-18,822000,13000,835000,840000,821000,252978
165,2021-06-17,835000,27000,819000,840000,815000,467626
166,2021-06-16,808000,12000,820000,820000,806000,297754
167,2021-06-15,820000,7000,834000,841000,817000,256471
168,2021-06-14,827000,23000,841000,842000,824000,220818
169,2021-06-11,850000,43000,809000,850000,807000,507734
170,2021-06-10,807000,5000,803000,808000,795000,288927
171,2021-06-09,802000,6000,807000,810000,801000,147055
172,2021-06-08,808000,6000,812000,814000,806000,196826
173,2021-06-07,814000,5000,813000,819000,808000,188145
174,2021-06-04,809000,3000,810000,810000,803000,245210
175,2021-06-03,812000,5000,807000,818000,803000,264741
176,2021-06-02,807000,18000,826000,826000,805000,322361
177,2021-06-01,825000,6000,818000,830000,818000,175369
178,2021-05-31,819000,13000,831000,831000,811000,265930
179,2021-05-28,832000,29000,813000,835000,809000,409642
180,2021-05-27,803000,29000,824000,825000,791000,938480
181,2021-05-26,832000,60000,880000,880000,832000,760533
182,2021-05-25,892000,0,897000,907000,889000,164647
183,2021-05-24,892000,2000,894000,901000,882000,150518
184,2021-05-21,894000,9000,913000,915000,881000,228349
185,2021-05-20,903000,22000,915000,915000,887000,318001
186,2021-05-18,881000,21000,868000,889000,865000,185804
187,2021-05-17,860000,6000,862000,867000,854000,126099
188,2021-05-14,854000,4000,852000,865000,846000,218492
189,2021-05-13,850000,13000,848000,858000,843000,299954
190,2021-05-12,863000,48000,912000,913000,860000,494315
191,2021-05-11,911000,1000,912000,922000,905000,327452
192,2021-05-10,912000,7000,930000,931000,908000,214715
193,2021-05-07,919000,19000,938000,941000,919000,221711
194,2021-05-06,938000,18000,915000,939000,911000,330040
195,2021-05-04,920000,13000,905000,927000,895000,297052
196,2021-05-03,907000,25000,935000,935000,899000,344795
197,2021-04-30,932000,19000,950000,950000,918000,657252
198,2021-04-29,951000,61000,915000,965000,913000,1405704
199,2021-04-28,890000,1000,890000,895000,873000,341070
200,2021-04-27,891000,8000,891000,903000,886000,404010
201,2021-04-26,883000,9000,880000,885000,865000,219608
202,2021-04-23,874000,3000,877000,879000,855000,210739
203,2021-04-22,871000,7000,872000,881000,867000,201220
204,2021-04-21,864000,29000,884000,889000,864000,361883
205,2021-04-20,893000,12000,884000,895000,882000,232900
206,2021-04-19,881000,16000,903000,904000,881000,268880
207,2021-04-16,897000,6000,897000,910000,891000,271425
208,2021-04-15,891000,6000,898000,898000,881000,299044
209,2021-04-14,897000,29000,892000,899000,871000,555279
210,2021-04-13,868000,51000,825000,875000,822000,713786
211,2021-04-12,817000,5000,845000,845000,816000,485379
212,2021-04-09,812000,2000,814000,816000,804000,376621
213,2021-04-08,810000,1000,811000,814000,803000,288954
214,2021-04-07,811000,1000,815000,836000,808000,279211
215,2021-04-06,812000,5000,821000,822000,801000,265899
216,2021-04-05,817000,11000,828000,835000,815000,188784
217,2021-04-02,828000,9000,830000,833000,822000,283958
218,2021-04-01,819000,14000,817000,822000,811000,361295
219,2021-03-31,805000,3000,823000,826000,805000,374401
220,2021-03-30,808000,9000,802000,816000,788000,372673
221,2021-03-29,799000,3000,805000,812000,791000,275352
222,2021-03-26,802000,14000,795000,806000,781000,624049
223,2021-03-25,788000,4000,800000,805000,782000,530883
224,2021-03-24,784000,9000,771000,792000,770000,506234
225,2021-03-23,775000,30000,809000,814000,774000,727322
226,2021-03-22,805000,25000,826000,828000,796000,595899
227,2021-03-19,830000,31000,840000,846000,829000,537750
228,2021-03-18,861000,4000,865000,875000,857000,554558
229,2021-03-17,857000,34000,881000,882000,843000,780786
230,2021-03-16,891000,75000,917000,935000,885000,941008
231,2021-03-15,966000,22000,960000,975000,948000,336241
232,2021-03-12,944000,5000,962000,963000,940000,255668
233,2021-03-11,939000,48000,907000,943000,895000,601480
234,2021-03-10,891000,30000,910000,914000,886000,364520
235,2021-03-09,861000,29000,888000,890000,850000,436628
236,2021-03-08,890000,14000,911000,915000,889000,289075
237,2021-03-05,904000,39000,853000,922000,853000,548940
238,2021-03-04,865000,5000,870000,876000,855000,348607
239,2021-03-03,870000,21000,883000,894000,863000,416803
240,2021-03-02,891000,60000,863000,905000,857000,697301
241,2021-02-26,831000,59000,865000,867000,825000,656689
242,2021-02-25,890000,30000,867000,890000,866000,451276
243,2021-02-24,860000,25000,875000,894000,860000,452597
244,2021-02-23,885000,31000,901000,905000,882000,522075
245,2021-02-22,916000,25000,943000,944000,905000,450568
246,2021-02-19,941000,2000,939000,956000,938000,255628
247,2021-02-18,939000,18000,954000,960000,939000,350635
248,2021-02-17,957000,21000,987000,987000,955000,335846
249,2021-02-16,978000,12000,992000,992000,973000,214557
250,2021-02-15,990000,30000,1008000,1010000,984000,450962
251,2021-02-10,960000,13000,982000,983000,936000,698567
252,2021-02-09,973000,17000,994000,1012000,973000,370167
253,2021-02-08,990000,38000,1017000,1025000,990000,288825
254,2021-02-05,1028000,28000,1009000,1043000,1005000,522768
255,2021-02-04,1000000,1000,999000,1005000,982000,440798
256,2021-02-03,999000,34000,980000,1000000,970000,724008
257,2021-02-02,965000,15000,963000,976000,951000,426057
258,2021-02-01,950000,33000,923000,950000,905000,401253
259,2021-01-29,917000,21000,955000,960000,913000,626744
260,2021-01-28,938000,10000,905000,943000,899000,677727
261,2021-01-27,928000,27000,945000,960000,925000,739531
262,2021-01-26,955000,35000,994000,994000,955000,476393
263,2021-01-25,990000,15000,990000,991000,972000,298557
264,2021-01-22,975000,13000,986000,990000,975000,394045
265,2021-01-21,988000,12000,1011000,1019000,988000,364628
266,2021-01-20,1000000,3000,1004000,1010000,983000,360937
267,2021-01-19,997000,33000,983000,1003000,970000,386045
268,2021-01-18,964000,15000,958000,990000,943000,423917
269,2021-01-15,979000,31000,1015000,1025000,975000,445649
270,2021-01-14,1010000,10000,1008000,1050000,1000000,652537
271,2021-01-13,1000000,38000,966000,1002000,963000,571276
272,2021-01-12,962000,36000,985000,994000,935000,774712
273,2021-01-11,998000,1000,1012000,1045000,981000,940100
274,2021-01-08,999000,37000,989000,1016000,970000,924780
275,2021-01-07,962000,72000,910000,969000,896000,706912
276,2021-01-06,890000,3000,908000,912000,883000,513628
277,2021-01-05,893000,4000,891000,893000,875000,371709
278,2021-01-04,889000,65000,849000,900000,835000,858451
279,2020-12-30,824000,11000,813000,824000,805000,339889
280,2020-12-29,813000,1000,817000,827000,805000,392849
281,2020-12-28,814000,4000,818000,824000,807000,264888
282,2020-12-24,818000,12000,810000,822000,802000,335065
283,2020-12-23,806000,9000,802000,830000,777000,594211
284,2020-12-22,797000,18000,815000,816000,796000,306523
285,2020-12-21,815000,1000,819000,823000,809000,284091
286,2020-12-18,814000,16000,831000,832000,806000,353819
287,2020-12-17,830000,11000,823000,830000,811000,319523
288,2020-12-16,819000,18000,812000,822000,808000,321381
289,2020-12-15,801000,8000,802000,804000,794000,300410
290,2020-12-14,793000,15000,811000,811000,791000,332473
291,2020-12-11,808000,9000,825000,827000,808000,363164
292,2020-12-10,817000,19000,822000,833000,815000,615054
293,2020-12-09,836000,25000,820000,836000,807000,392544
294,2020-12-08,811000,5000,816000,830000,805000,389335
295,2020-12-07,816000,30000,832000,838000,807000,498527
296,2020-12-04,846000,0,863000,863000,846000,375662
297,2020-12-03,846000,5000,839000,846000,827000,372854
298,2020-12-02,841000,32000,816000,849000,811000,592081
299,2020-12-01,809000,9000,808000,816000,794000,404022
300,2020-11-30,800000,10000,807000,813000,790000,728920
301,2020-11-27,810000,6000,807000,820000,798000,390212
302,2020-11-26,816000,28000,794000,821000,783000,556575
303,2020-11-25,788000,11000,820000,833000,784000,780482
304,2020-11-24,799000,51000,760000,799000,754000,858347
305,2020-11-23,748000,24000,739000,748000,735000,466506
306,2020-11-20,724000,3000,722000,731000,716000,285042
307,2020-11-19,721000,12000,712000,725000,709000,356316
308,2020-11-18,709000,23000,688000,709000,686000,350805
309,2020-11-17,686000,9000,678000,686000,675000,331899
310,2020-11-16,677000,28000,682000,691000,675000,573360
311,2020-11-13,705000,13000,688000,710000,680000,388449
312,2020-11-12,692000,0,696000,710000,691000,396873
313,2020-11-11,692000,10000,708000,717000,685000,528736
314,2020-11-10,702000,32000,722000,733000,701000,563688
315,2020-11-09,734000,14000,739000,750000,722000,601476
316,2020-11-06,720000,43000,688000,724000,686000,1268197
317,2020-11-05,677000,27000,663000,677000,656000,446583
318,2020-11-04,650000,6000,662000,673000,645000,472730
319,2020-11-03,656000,33000,630000,659000,628000,638480
320,2020-11-02,623000,12000,609000,625000,588000,505856
321,2020-10-30,611000,40000,647000,648000,611000,820454
322,2020-10-29,651000,9000,629000,654000,629000,386081
323,2020-10-28,642000,10000,647000,647000,626000,368105
324,2020-10-27,632000,14000,633000,641000,627000,261388
325,2020-10-26,646000,4000,645000,650000,634000,264208
326,2020-10-23,650000,11000,646000,650000,633000,405718
327,2020-10-22,639000,22000,623000,642000,621000,512433
328,2020-10-21,617000,4000,624000,626000,614000,241633
329,2020-10-20,621000,6000,606000,626000,605000,483397
330,2020-10-19,615000,25000,642000,642000,614000,473127
331,2020-10-16,640000,3000,633000,643000,628000,310579
332,2020-10-15,637000,9000,636000,648000,629000,531454
333,2020-10-14,628000,16000,642000,644000,620000,725349
334,2020-10-13,644000,28000,675000,678000,640000,678451
335,2020-10-12,672000,20000,680000,692000,670000,551057
336,2020-10-08,692000,12000,684000,698000,682000,564700
337,2020-10-07,680000,6000,673000,680000,667000,294545
338,2020-10-06,674000,15000,659000,680000,654000,451956
339,2020-10-05,659000,5000,670000,670000,648000,443499
340,2020-09-29,654000,28000,659000,660000,636000,677451
341,2020-09-28,626000,1000,636000,639000,616000,367111
